"message_id","message","message_utc","from_id","date","time"
"58042","Observem a lição de um ajudar o outro. 👏👏👏","2023-01-06 02:10:23","2141914736","2023-01-06","02:10:23"
"58043","Esse deu o papo reto sem curva.  rsrs","2023-01-06 02:21:28","1502332116","2023-01-06","02:21:28"
"58044","https://youtu.be/patMl40oMpo","2023-01-06 09:47:27","5516810854","2023-01-06","09:47:27"
"58045","Vídeo de Osmar Borges","2023-01-06 12:08:36","2141914736","2023-01-06","12:08:36"
"58046","O RECADO MAIS CLARO E LÚCIDO QUE EU JÁ VI. Atenção senhoras e senhores deputados, senadores,  vocês serão os primeiros a serem presos.","2023-01-06 13:27:03","5706901085","2023-01-06","13:27:03"
"58047","*CDBr INFORMA:*

*CONHEÇA O LIVRO QUE O PSIQUIATRA AMERICANO CLASSIFICA ESQUERDISMO COMO DOENÇA MENTAL*

No livro: “A Mente Esquerdista: As Causas Psicológicas da Loucura Política”, o psiquiatra americano afirma que ser de esquerda é doença mental!
    
Ser de esquerda é doença mental, de acordo com a tese do psiquiatra americano Lyle H. Rossiter.

Em seu livro: “A Mente Esquerdista: As Causas Psicológicas da Loucura Política”, o psiquiatra americano afirma, em outras palavras, que as pessoas que precisam que o Estado regule suas vidas têm problemas psicológicos.

Naturalmente, o que se espera de pessoas adultas e – com o psicológico equilibrado – é que elas acreditem em suas próprias capacidades produtivas e tenham desejo por independência e controle das próprias vidas. Ou seja, desejem que o governo não seja invasivo.

Entenda o porquê ser de esquerda é doença mental? De acordo com o psiquiatra americano Lyle H. Rossiter, pessoas infantilizadas, que se sentem incapazes, não querem construir sozinhas seu próprio destino, porque têm medo. Buscam por um “herói” que as ajude caso elas falhem, e veem no Estado esse personagem.

Em outras palavras, pessoas com baixa autoestima ou complexo de incapacidade, na falta de um pai ou mãe que as ampare, querem que o governo seja um verdadeiro provedor.

No livro “A Mente Esquerdista: As Causas Psicológicas da Loucura Política”, o psiquiatra “destrincha” essa tese ao longo de quase 500 páginas.

Segundo ele, os típicos esquerdistas radicais poderiam ser curados com terapia.

“A agenda esquerdista despersonaliza, e até mesmo desumaniza, os cidadãos quando exalta a bondade de um ‘todo’ abstrato sobre a soberania do indivíduo, que deve assim estar subordinado aos fins coletivos do estado”.

De fato, a posição de alguns governos é a de que: seres humanos são coisas a serem dominadas. “São meros meios para se atingir fins”, sendo o fim a revolução.

https://twitter.com/ROMULOTBC777/status/1611349858207793152?s=19

DIVULGAR PARA ORIENTAR PRINCIPALMENTE OS JOVENS!

*ESMAGUE O SOCIALISMO:*","2023-01-06 13:40:30","1035683317","2023-01-06","13:40:30"
"58049","🚨É agora Patriotas, se deixarmos pra depois, nunca mais poderemos ir pra rua nos manifestar contra os desmandos das instituições.
Precisamos de no mínimo um milhão de Patriotas em Brasília, para tomarmos o poder no braço, ocupando o Palácio do Planalto, o STF e o Congresso, exigindo intervenção militar nos três poderes!
Quem não puder ir pra Brasília, ocupe as assembléias Legislativas e as Câmaras de Vereadores. Só saiam de lá quando os militares fizerem a intervenção!
Quem não puder, fique na porta dos quartéis e ajudem na paralisação das refinarias e distribuidoras de combustível!
Não importa se os políticos não estarão lá. Ocupando o prédio, tomamos o poder!


Ou ficar a pátria livre
Ou morrer pelo Brasil!
Selva!","2023-01-06 14:07:57","1213932117","2023-01-06","14:07:57"
"58050","Aquela estória de que o povo tem o governo que merece, faz muito sentido agora!! 😁.. ainda que foram a maioria que votou no Bolsonaro,mas ao perceberem a fraude das urnas,  não fazem nada, não se movem de alguma forma, só leva a crer que é isso mesmo.. temos o governo que merecemos!!","2023-01-06 14:45:16","1120615565","2023-01-06","14:45:16"
"58052","Barzel Brasileiro 
https://t.me/B70milhoes","2023-01-06 14:47:35","5106339020","2023-01-06","14:47:35"
"58055","Prefeitura de MG.  Tirando o pessoal da frente do QG.  
POLÍCIAIS cumprindo ordens absurdas!!
PATRIOTAS DE MINAS GERAIS 
SE MOBILIZEM E VÃO PARA BRASÍLIA "" NÓS VAMOS DESTRUIR ESSE COMUNISMO!!
http://t.me/+8ORgcnpcRg1kNDlh","2023-01-06 16:02:51","1016914232","2023-01-06","16:02:51"
